Well Name,Fluid volume (m3)Exe,Proppant/Exe,AOFkm3/d,Formation
SN0039-04,447.2,47.9,118.115196,He8
SN0039-05,419.3,43.5,404.4846199,He8
SN0039-08,664.1,76.3,513.281352,He8
SN0039-09,353.5,36.4,306.267556,He8
SN0039-16,579.9,55.9,98.0434093,He8
SN0041-02,333.5,36.1,130.0321433,He8
SN0041-04,318.4,39.6,47.0629744,He8
SN0041-05,684.9,72.3,436.4893534,Shan1
SN0041-08,489.7,51.4,74.72058579,He8
SN0043-05,348.4,36.0,50.85742046,He8
SN0043-14,303.4,31.0,31.83733297,Shan1
SN0045-04,331.9,36.2,261.038,Shan1
SN0045-05,337.5,36.3,104.41,He8
SN0047-06,376.6,46.0,127.3905107,He8
SN0051-04,271.2,30.6,674.67,He8
SN0051-06,309.5,39.1,319.83,He8
SN0051-08,375.3,47.7,276.8,He8
SN0051-09,567.3,54.0,263.04,He8
SN0054-02,365.8,38.6,65.5,He8
SN0054-03,357.1,37.7,231.1358195,He8
SN0054-04,440.4,55.7,329.3,He8
SN0054-06,354.7,37.7,65.1,He8
SN0054-09,401.9,52.1,337.2,He8
SN0055-01,314.8,38.8,17.04,He8
SN0055-02,374.1,46.3,23.39,He8
SN0055-06,345.9,36.2,12.05,He8
SN0063-07,233.4,21.7,81.821134973709,He8
SN0065-06,326.9,32.4,269.4157271,Shan1
SN0065-07,557.4,54.0,252.5262604,Shan1
SN0071-04,282.2,24.5,54.48573806,He8
SN0071-05,212.4,18.1,16.37635905,He8
SN0073-02,373.6,37.1,32.445,He8
SN0073-03,325.8,34.9,52.565,He8
SN0073-08ST,354.1,40.3,78.341,He8
SN0075-01,305.8,31.8,113.273827290998,He8
SN0076-01,278.9,34.3,28.4,Shan1
SN0082-01,370.9,45.9,113.118077,He8
SN0082-03,376.9,46.3,39.87312669,He8
SN0082-07,336.3,41.1,224.917612,He8
SN0082-08,267.2,32.4,301.5731541,He8
SN0083-06,352.2,41.4,245.11,He8
SN0084-03,415.3,33.6,38.15,He8
SN0085-03,310.8,32.3,73.52,He8
SN0085-06,365.3,38.2,27.83,Shan1
SN0085-08,335.4,41.6,18.28,He8
SN0086-04,269.9,23.5,128.42,
SN0086-05,317.5,20.2,31.58,He8
SN0086-08,298.8,30.4,64.56,He8
SN0086-09,367.1,25.7,3.25,Shan1
SN0089-03,335.3,30.0,69.19720549,He8
SN0089-06,344.4,37.7,185.4777483,He8
SN0089-08,470.4,56.8,373.1357955,He8
SN0100-07,356.3,31.5,24.932,He8
SN0100-08,397.5,39.4,163.086,He8
SN0101-05,354.6,40.9,74.4978053891572,He8
SN0103-03,273.7,25.4,83.581,Shan1
SN0104-02,218.2,18.6,4.78,Shan1
SN0104-06,251.5,17.7,6.24,Shan1
SN0104-08,354.5,27.0,93.33,Shan1
SN0106-06,387.6,30.2,20.26,
SN0106-08,562.4,42.5,64.44,
SN0107-05,191.1,16.7,137.6692597,Shan1
SN0107-07,466.8,44.7,116.6851094,He8
SN0108-02,381.1,27.8,120.46,He8
SN0109-01,455.5,58.9,38.8,He8
SN0109-02,349.3,45.6,17.3,He8
SN0109-03,406.1,45.8,363.2,Shan1
SN0109-05,501.6,63.3,117.1,Shan1
SN0112-03,314.7,23.9,13.94,
SN0113-06,303.5,38.0,24.16,He8
SN0114-02,366.4,32.0,289.5,He8
SN0114-05,168.2,19.1,200.0,
SN0116-01,693.7,41.2,98.96,
SN0116-04,403.4,20.9,17.41,
SN0116-07,404.9,17.8,277.85,
SN0127-02,351.1,46.4,161.395,Shan1
SN0127-06,378.8,53.6,675.453,He8
SN0132-04,396.6,56.0,1021.557,He8
SN0132-07,380.2,42.7,185.59,He8
SN0134-02,296.6,21.5,62.4519414,He8
SN0134-06,352.8,35.2,66.4708763,He8
SN0135-01,266.2,33.7,31.97,He8
SN0135-02,209.6,17.0,113.74,
SN0135-03,359.6,23.6,12.23,
SN0135-07,365.9,39.2,25.16,He8
SN0135-09,203.3,16.2,98.17,
SN0136-01,438.4,35.9,39.64,
SN0136-03,516.2,42.2,426.41,
SN0138-07,225.8,15.1,26.39,
SN0138-09,373.7,37.0,19.32,He8
SN0139-07,377.2,38.7,151.8646845,He8
SN0139-09,272.6,32.9,168.9837759,Shan1
SN0142-01,328.5,32.2,52.24,He8
SN0142-05,381.2,36.9,405.96,He8
SN0142-08,234.5,23.0,62.63,He8
SN0142-09,503.3,50.5,1104.34,He8
SN0143-04,314.3,27.8,33.36,Shan1
SN0143-05,320.0,32.0,141.98,Shan1
SN0143-07,203.8,18.5,63.31,Shan1
SN0144-03,428.0,35.4,734.22,He8
SN0144-04,300.4,27.8,2.5,Shan1
SN0146-05,305.4,37.7,211.4918221,He8
SN0148-03,390.1,49.0,287.253,He8
SN0150-05,264.0,26.5,284.866,He8
SN0152-03,334.1,33.0,162.2915113,He8
SN0152-06,406.2,44.6,156.7902859,He8
SN0152-08,347.4,35.1,518.1019224,He8
SN0159-04,402.7,45.7,429.082,He8
SN0159-05,352.7,42.7,850.301,He8
SN0159-07,390.7,40.7,230.848,He8
SN0159-09,356.8,37.0,101.719,He8
SN0162-05,308.505564387917,44.8,189.615477141221,He8
SN0165-03,260.2,23.0,6.49,Shan1
SN0165-07,382.4,36.8,62.06,He8
SN0166-02,317.1,27.1,43.5,Shan2
SN0166-08,383.8,50.2,19.9,Shan1 L
SN0167-01,252.1,23.0,23.42,Shan1
SN0167-04,506.4,45.9,67.77,He8
SN0167-06,599.7,50.2,70.69,He8
SN0167-08,485.6,41.4,653.03,He8
SN0169-01,371.7,27.1,267.001,He8
SN0169-05,361.7,34.5,99.37,He8
SN0169-07,388.9,35.7,161.386,He8
SN0172-02,324.9,32.8,215.92052777605,He8
SN0172-04,300.2,31.1,289.576466937635,He8
SN0174-08,315.6,39.6,295.48,Shan1
SN0177-02,330.0,33.0,102.479084962675,He8
SN0177-04,298.4,35.5,101.205476902158,He8
SN0177-05,332.7,42.5,60.1588668696924,He8
SN0177-08,331.4,33.0,234.015761978278,He8
